Nombre componente/instancia;CHECK UNICIDAD;TORRE;ENTORNO;DUPLICADO?;VERIFICACION EN LISTA ENTITIES DYNATRACE;VERIFICACION CMDB - ESTADO;VERIFICACION CMDB - GRUPO;VERIFICACION CMDB - ENTORNO;VERIFICACION CMDB - SISTEMA OPERATIVO;CHECK INVENTARIO PLAN;Estado Monitoreo Integración;MARCA OBSOLESCENCIA;[Instancia] : Nombre ORI;[Instancia] : Motor de Base de Datos;[Servidor] : Display Label;Notas;Réplicación 
drecwcl018;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwcl018;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwcr001;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows Standard - 10.0.18363;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR VERSION;drecwcr001;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwcr002;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows Datacenter - 10.0.18363;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR VERSION;drecwcr002;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwcr003;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows Datacenter - 10.0.18363;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR VERSION;drecwcr003;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwcr004;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows Datacenter - 10.0.18363;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR VERSION;drecwcr004;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwcr005;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows Datacenter - 10.0.18363;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR VERSION;drecwcr005;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwcr006;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows Standard - 10.0.18363;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR VERSION;drecwcr006;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwcr007;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows Datacenter - 10.0.18363;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR VERSION;drecwcr007;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwcr008;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows Standard - 10.0.18363;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR VERSION;drecwcr008;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwct001;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Remote Host Wintel (Extension);CON SOPORTE;drecwct001;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
